state,weight,EV
CA,0.110963,55
TX,0.073644,38
FL,0.055143,29
NY,0.055143,29
PA,0.037355,20
IL,0.037355,20
OH,0.033491,18
GA,0.029657,16
MI,0.029657,16
NC,0.027751,15
NJ,0.025852,14
VA,0.023961,13
WA,0.022077,12
AZ,0.0202,11
IN,0.0202,11
MA,0.0202,11
TN,0.0202,11
MD,0.01833,10
MN,0.01833,10
MO,0.01833,10
WI,0.01833,10
SC,0.016467,9
CO,0.016467,9
KY,0.014611,8
LA,0.014611,8
OK,0.012762,7
OR,0.012762,7
CT,0.012762,7
UT,0.010919,6
AL,0.010919,6
AR,0.010919,6
IA,0.010919,6
KS,0.010919,6
MS,0.010919,6
NV,0.010919,6
NE,0.009083,5
NM,0.009083,5
WV,0.009083,5
NH,0.007253,4
RI,0.007253,4
HI,0.007253,4
ID,0.007253,4
ME,0.007253,4
AK,0.00543,3
DE,0.00543,3
DC,0.00543,3
MT,0.00543,3
ND,0.00543,3
SD,0.00543,3
VT,0.00543,3
WY,0.00543,3